Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,GitHub ID,Integration,Owned By,Comment,Comment,Task,Task Status,Task,Task Status,Task,Task Status
135932523,Generate Summary Report,report module,1,26-Dec-16,20-Nov-16,feature,3,unstarted,12-Dec-16,,,Wei Seong,"As an admin, I want to generate exception report so that the company can check the daily or monthly report.",https://www.pivotaltracker.com/story/show/135932523,,,Wei Seong,,,"Design user interface
",not completed,"Code functionalities
",not completed,"Implement input validation
",not completed
135932339,Generate Exception Report,report module,1,26-Dec-16,20-Nov-16,feature,3,unstarted,12-Dec-16,,,Wei Seong,"As an admin, I want to generate exception report so that the company can check the report such as monthly top sales, top 10 route.",https://www.pivotaltracker.com/story/show/135932339,,,Wei Seong,,,Design user interface,not completed,Code functionalities,not completed,Implement input validation,not completed
135932467,Generate Transaction Report,report module,1,26-Dec-16,20-Nov-16,feature,3,unstarted,12-Dec-16,,,Wei Seong,"As an admin, I want to generate exception report so that the company can check the sales of each route.",https://www.pivotaltracker.com/story/show/135932467,,,Wei Seong,,,"Design user interface
",not completed,Code functionalities,not completed,"Implement input validation
",not completed
135932271,Delete Driver,admin maintenance module,1,26-Dec-16,20-Nov-16,feature,1,unstarted,12-Dec-16,,,Wei Seong,"As a bus company admin, I want delete the driver information, so that i do not waste time on the driver information that not longer work in company.",https://www.pivotaltracker.com/story/show/135932271,,,Wei Seong,,,Design delete driver user interface.,not completed,Develop functionality of driver,not completed,Functionality testing ,not completed
135932177,Update Driver,admin maintenance module,2,21-Nov-16,27-Nov-16,feature,1,unstarted,12-Dec-16,,,Wei Seong,"As a bus company admin, I want to edit driver information so that I can update the driver information.",https://www.pivotaltracker.com/story/show/135932177,,,Wei Seong,,,Design edit driver user interface,not completed,Develop functionality of driver,not completed,Functionality testing.,not completed
135932007,Retrieve Driver,admin maintenance module,2,21-Nov-16,27-Nov-16,feature,1,unstarted,12-Dec-16,,,Wei Seong,"As a bus company admin, I want to retrieve driver information so that i can know the personal details of a driver, no need to meet every driver to understand their personalities.",https://www.pivotaltracker.com/story/show/135932007,,,Wei Seong,,,Design retrieve driver interface.,not completed,Develop functionality of retrieve driver,not completed,Functionality Testing,not completed
135931929,Create Driver,admin maintenance module,2,21-Nov-16,27-Nov-16,feature,1,unstarted,12-Dec-16,,,Wei Seong,"As a bus company admin, I want to add a new driver information, so that i can assign task effectively according to the information.",https://www.pivotaltracker.com/story/show/135931929,,,Wei Seong,,,Design driver module interface,not completed,Develop the functionality of add driver,not completed,Functionality Testing,not completed
135933239,Delete bus,bus module,2,21-Nov-16,27-Nov-16,feature,1,unstarted,12-Dec-16,,,Quah Cheun Wei,"As a bus company admin, I want delete the bus information, so that i do not waste time on the bus information that not longer work in company.",https://www.pivotaltracker.com/story/show/135933239,,,Quah Cheun Wei,,,Design edit bus user interface,not completed,Develop functionality of  bus,not completed,Functionality testing,not completed
135933169,Update bus,bus module,2,21-Nov-16,27-Nov-16,feature,1,unstarted,12-Dec-16,,,Quah Cheun Wei,"As a bus company admin, I want to edit bus information so that I can update the bus information.",https://www.pivotaltracker.com/story/show/135933169,,,Quah Cheun Wei,,,Design edit bus user interface,not completed,Develop functionality of  bus,not completed,Functionality testing,not completed
135933041,Retrieve bus,bus module,2,21-Nov-16,27-Nov-16,feature,1,unstarted,12-Dec-16,,,Quah Cheun Wei,"As a bus company admin, I want to retrieve bus information so that i can know the details of a bus.",https://www.pivotaltracker.com/story/show/135933041,,,Quah Cheun Wei,,,Design retrieve bus interface.,not completed,Develop functionality of retrieve bus,not completed,,
135932941,Create bus,bus module,2,21-Nov-16,27-Nov-16,feature,1,unstarted,12-Dec-16,,,Quah Cheun Wei,"As a bus company admin, I want to add a new bus information, so that i can assign task effectively according to the information.",https://www.pivotaltracker.com/story/show/135932941,,,Quah Cheun Wei,,,Design bus module interface,not completed,Develop the functionality of add bus,not completed,Functionality testing,not completed
135932575,Delete manager,admin maintenance module,2,21-Nov-16,27-Nov-16,feature,1,unstarted,12-Dec-16,,,Quah Cheun Wei,"As a bus company admin, I want delete the manager information, so that i do not waste time on the manager information that not longer work in company.",https://www.pivotaltracker.com/story/show/135932575,,,Quah Cheun Wei,,,Design edit manager user interface,not completed,Develop functionality of manager,not completed,Functionality testing,not completed
135932509,Update manager,admin maintenance module,2,21-Nov-16,27-Nov-16,feature,1,unstarted,12-Dec-16,,,Quah Cheun Wei,"As a bus company admin, I want to edit manager information so that I can update the manager information.",https://www.pivotaltracker.com/story/show/135932509,,,Quah Cheun Wei,,,Design edit manager user interface,not completed,Develop functionality of manager,not completed,Functionality testing,not completed
135932447,Retrieve manager,admin maintenance module,2,21-Nov-16,27-Nov-16,feature,1,unstarted,12-Dec-16,,,Quah Cheun Wei,"As a bus company admin, I want to retrieve manager information so that i can know the personal details of a manager, no need to meet every manager to understand their personalities.",https://www.pivotaltracker.com/story/show/135932447,,,Quah Cheun Wei,,,Design retrieve manager interface,not completed,Develop functionality of retrieve manager ,not completed,,
135932371,Create Manager,admin maintenance module,3,28-Nov-16,4-Dec-16,feature,1,unstarted,12-Dec-16,,,Quah Cheun Wei,"As a bus company admin, I want to add a new manager information, so that i can assign task effectively according to the information.",https://www.pivotaltracker.com/story/show/135932371,,,Quah Cheun Wei,,,Design manager module interface,not completed,Develop the functionality of add manager,not completed,Functionality testing,not completed
135932989,Search Bus Schedule,bus schedule,3,28-Nov-16,4-Dec-16,feature,2,unstarted,12-Dec-16,,,tan teik shen,"As a counter staff, I want to search schedule details so that I can view the schedule details in more efficiency way.",https://www.pivotaltracker.com/story/show/135932989,,,tan teik shen,,,Design Bus Schedule UI,not completed,Bus Schedule Display Functionality coding,not completed,Functionality Testing,not completed
135932905,Update Bus Schedule,bus schedule,3,28-Nov-16,4-Dec-16,feature,2,unstarted,12-Dec-16,,,tan teik shen,"As a manager, I want to edit the bus schedule details so that I able to adjust the time bus go, the price and the bus drive. ",https://www.pivotaltracker.com/story/show/135932905,,,tan teik shen,,,Design Update Bus Schedule UI,not completed,Update Schedele Functionality coding,not completed,Functionality Testing,not completed
135932737,Display Bus Schedule,bus schedule,3,28-Nov-16,4-Dec-16,feature,2,unstarted,12-Dec-16,,,tan teik shen,"As a counter staff, I want to view the bus schedule so that I able to sell the bus ticket to the customer and give the customer to know what time the bus will go. ",https://www.pivotaltracker.com/story/show/135932737,,,tan teik shen,,,Design Bus Schedule UI,not completed,Bus Schedule Display Functionality coding,not completed,Functionality Testing,not completed
135932445,Create bus schedule,bus schedule,3,28-Nov-16,4-Dec-16,feature,2,unstarted,12-Dec-16,,,tan teik shen,"As the manager, I need to create the bus schedule, so that the customer and the bus drive can know what time the bus will go.",https://www.pivotaltracker.com/story/show/135932445,,,tan teik shen,,,"Design Add Bus Schedule UI
",not completed,Add Bus schedule functionality coding,not completed,Functionality Testing,not completed
135933717,Delete route,route module,3,28-Nov-16,4-Dec-16,feature,1,unstarted,12-Dec-16,,,tan teik shen,"As a manager, I want to delete the route so that I able to adjust the bus go.",https://www.pivotaltracker.com/story/show/135933717,,,tan teik shen,,,Design Delete route UI,not completed,Delete route Functionality coding,not completed,Functionality Testing,not completed
135933651,Update Route,route module,4,5-Dec-16,11-Dec-17,feature,1,unstarted,12-Dec-16,,,tan teik shen,"As a manager, I want to edit the route so that I able to adjust the where the bus go.",https://www.pivotaltracker.com/story/show/135933651,,,tan teik shen,,,Design Update Route UI,not completed,Update Route Functionality coding,not completed,Functionality Testing,not completed
135933583,Display Route,route module,4,5-Dec-16,11-Dec-17,feature,1,unstarted,12-Dec-16,,,tan teik shen,"As a Manager, I want to view the route so that I able to view the route",https://www.pivotaltracker.com/story/show/135933583,,,tan teik shen,,,Design Route UI,not completed,Route Display Functionality coding,not completed,Functionality Testing,not completed
135933329,Create Route,route module,4,5-Dec-16,11-Dec-17,feature,1,unstarted,12-Dec-16,,,tan teik shen,"As a manager, I want to add route so that the company is able to provide new route to customer.",https://www.pivotaltracker.com/story/show/135933329,,,tan teik shen,,,Design Add Route UI,not completed,Add Route functionality coding,not completed,Functionality Testing,not completed
135935805,Update staff detalis,staff maintaince module,4,5-Dec-16,11-Dec-17,feature,1,unstarted,12-Dec-16,,,Terrence Yoong,"As a manager, I want to edit staff information so that I can get the update to date staff information.",https://www.pivotaltracker.com/story/show/135935805,,,Terrence Yoong,,,Design edit staff user interface.,not completed,Develop functionality of staff,not completed,Functionality testing.,not completed
135931281,Generate Ticket,payment module,4,5-Dec-16,11-Dec-17,feature,3,unstarted,12-Dec-16,,,Terrence Yoong,"As a staff, I need to generate ticket, so that the company can keep track what had been sold to who.",https://www.pivotaltracker.com/story/show/135931281,,,Terrence Yoong,,,Design user interface,not completed,Code functionalities,not completed,Implement input validation,not completed
136748203,Create payment,payment module,4,5-Dec-16,11-Dec-17,feature,2,unstarted,28-Dec-16,,,Terrence Yoong,"As a staff, I need to create payment, so that can calculate total fare to customer to let them make their payment..",https://www.pivotaltracker.com/story/show/136748203,,,Terrence Yoong,,,Design user interface,not completed,Code functionalities,not completed,Implement input validation,not completed
135934809,View booking ticket,booking ticket,5,12-Dec-16,18-Dec-16,feature,3,unstarted,12-Dec-16,,,Terrence Yoong,"As a staff , I want to check the customer booking detail, so that I can know booking ticket on specific day or month.",https://www.pivotaltracker.com/story/show/135934809,,,Terrence Yoong,,,Design user interface,not completed,Code functionalities.,not completed,Implement input validations,not completed
135934393,Add Booking Ticket,booking ticket,5,12-Dec-16,18-Dec-16,feature,3,unstarted,12-Dec-16,,,Terrence Yoong,"As a staff, i need to add new booking ticket into a single order receipt, so that customer order can be recorded.",https://www.pivotaltracker.com/story/show/135934393,,,Terrence Yoong,,,Design user interface.,not completed,Code functionalities.,not completed,Implement input validations,not completed
135932819,Delete staff,admin maintenance module,5,12-Dec-16,18-Dec-16,feature,1,unstarted,12-Dec-16,,,Tan Chin Wen,"As a bus company admin, I want delete the staff information, so that i do not waste time on the staff information that not longer work in company.",https://www.pivotaltracker.com/story/show/135932819,,,Tan Chin Wen,,,Design delete staff user interface.,not completed,Develop functionality of delete staff,not completed,Functionality testing,not completed
135932767,Update staff,admin maintenance module,5,12-Dec-16,18-Dec-16,feature,1,unstarted,12-Dec-16,,,Tan Chin Wen,"As a bus company admin, I want to edit staff information so that I can update the staff information.",https://www.pivotaltracker.com/story/show/135932767,,,Tan Chin Wen,,,Design edit staff user interface,not completed,Develop functionality of staff,not completed,Functionality testing,not completed
135932719,Retrieve staff,admin maintenance module,5,12-Dec-16,18-Dec-16,feature,1,unstarted,12-Dec-16,,,Tan Chin Wen,"As a bus company admin, I want to retrieve staff information so that i can know the personal details of a staff, no need to meet every staff to understand their personalities.",https://www.pivotaltracker.com/story/show/135932719,,,Tan Chin Wen,,,Design retrieve staff user interface.,not completed,Develop functionality of retrieve staff,not completed,Functionality testing,not completed
135932657,Create staff,admin maintenance module,5,12-Dec-16,18-Dec-16,feature,2,unstarted,12-Dec-16,,,Tan Chin Wen,"As a bus company admin, I want to add a new staff information, so that i can assign task effectively according to the information.",https://www.pivotaltracker.com/story/show/135932657,,,Tan Chin Wen,,,Design staff module interface,not completed,Develop the functionality of add staff,not completed,Functionality testing,not completed
136748917,Forget password,login,6,19-Dec-16,25-Dec-16,feature,1,unstarted,28-Dec-16,,,Tan Chin Wen,"As a user, I want to reset my password so that I can log in to the system to perform task.",https://www.pivotaltracker.com/story/show/136748917,,,Tan Chin Wen,,,"Design user interface
",not completed,"Code functionalities
",not completed,"Implement input validation
",not completed
135932727,Admin login,login,6,19-Dec-16,25-Dec-16,feature,2,unstarted,12-Dec-16,,,Tan Chin Wen,"As a admin, I want to login to the system so that I can manage admin profile, bus, schedule, route and generate report.",https://www.pivotaltracker.com/story/show/135932727,,,Tan Chin Wen,,,"Design user interface
",not completed,"Code functionalities
",not completed,"Implement input validation
",not completed
135419947,Staff Login,login,6,19-Dec-16,25-Dec-16,feature,2,unstarted,2-Dec-16,,,Tan Chin Wen,"As a staff,  I want to login to the system so that I can manage ticket reservation.",https://www.pivotaltracker.com/story/show/135419947,,,Tan Chin Wen,,,"Design user interface
",not completed,"Code functionalities
",not completed,"Implement input validation
",not completed
